,text,text_mark_rm,text_checked,text_len
0,기태영씨는 이제 안 나오시는건가요?,기태영씨는 이제 안 나오시는건가요,기태영 씨는 이제 안 나오시는 건가요,18
1,이유리 배우님 보려고 기다렸는데... ... ㅠ.ㅠ,이유리 배우님 보려고 기다렸는데  ㅠㅠ,이유리 배우님 보려고 기다렸는데  ㅠㅠ,21
2,저번주에 이유리 재미도 있었고 녹색고추장 만드는것도 좋았는데 왜 또 안 나옵니까,저번주에 이유리 재미도 있었고 녹색고추장 만드는것도 좋았는데 왜 또 안 나옵니까,저번 주에 이유리 재미도 있었고 녹색 고추장 만드는 것도 좋았는데 왜 또 안 나옵니까,44
3,아이가 왜 계속나오는지~~~이제그만요,아이가 왜 계속나오는지이제그만요,아이가 왜 계속 나오는지 이제 그만요,17
4,요리가 이제서야 나오네. 슈돌도 적당히 찍어야지. 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜.,요리가 이제서야 나오네 슈돌도 적당히 찍어야지 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜,요리가 이제서야 나오네 슈도라도 적당히 찍어야지 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜,72
5,이유리씨는 또 안나와요?ㅜㅜ,이유리씨는 또 안나와요ㅜㅜ,이유리 씨는 또 안 나와요ㅜㅜ,14
6,와 설마 오늘 본방 톡 내가 1빠? ㅎㄷㄷ,와 설마 오늘 본방 톡 내가 1빠 ㅎㄷㄷ,와 설마 오늘 본방 톡 내가 1빠 ㅎㄷㄷ,22
7,김보민님 진짜...본인 방송보고 무슨생각할지;; 너무 심해요 ㅜㅜ,김보민님 진짜본인 방송보고 무슨생각할지;; 너무 심해요 ㅜㅜ,김보민 님 진짜 본인 방송 보고 무슨 생각 할지;; 너무 심해요 ㅜㅜ,33
8,이거 뭐 육아프로냐 뭐냐 애들나오는거 지겨워,이거 뭐 육아프로냐 뭐냐 애들나오는거 지겨워,이거 뭐 육아 프로냐 뭐냐 애들 나오는 거 지겨워,24
9,류수영 옆에 여자분 누군기요 시끄러워요,류수영 옆에 여자분 누군기요 시끄러워요,류수영 옆에 여자분 누군 기요 시끄러워요,21
10,김보민을 빼던가 그렇게 출연시키고싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 나래이션 프로 못 하지,김보민을 빼던가 그렇게 출연시키고싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 나래이션 프로 못 하지,김보민을 빼던가 그렇게 출연시키고 싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 내레이션 프로 못 하지,73
11,류수영 분량 너무 적다ㅜㅜ,류수영 분량 너무 적다ㅜㅜ,류수영 분량 너무 적다ㅜㅜ,14
12,"이유리요 초록고추장 특허내서 판매하시길 매운것 좋아한이들한테는 무척 먹어 보고싶게함, 아무나 보고 저렇게 못만들고 재료 일일이 준비한것도 힘들어하거나 마트마다 다라서 없어가지고  못함","이유리요 초록고추장 특허내서 판매하시길 매운것 좋아한이들한테는 무척 먹어 보고싶게함, 아무나 보고 저렇게 못만들고 재료 일일이 준비한것도 힘들어하거나 마트마다 다라서 없어가지고  못함","이유리요 초록 고추장 특허 내서 판매하시길 매운 것 좋아한 이들한테는 무척 먹어 보고 싶게 함, 아무나 보고 저렇게 못 만들고 재료 일일이 준비한 것도 힘들어하거나 마트마다 다라서 없어가지고  못함",102
13,류수여은 요리실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고싶어하지 다른요리는 곧 잘 하는데 김밥만 싸면 옆구리기 터져서 짜증나는 이젠 안터지고 잘 싸겠네요,류수여은 요리실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고싶어하지 다른요리는 곧 잘 하는데 김밥만 싸면 옆구리기 터져서 짜증나는 이젠 안터지고 잘 싸겠네요,류수영은 요리 실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고 싶어 하지 다른 요리는 곧잘 하는데 김밥만 싸면 옆구리기 터져서 짜증 나는 이젠 안 터지고 잘 싸겠네요,89
14,다들 열심히 노력하고 연구 하는데 편파적으로 분량을 그렇게 몰아주는건 아니죠 ,다들 열심히 노력하고 연구 하는데 편파적으로 분량을 그렇게 몰아주는건 아니죠 ,다들 열심히 노력하고 연구하는데 편파적으로 분량을 그렇게 몰아주는 건 아니죠 ,43
15,실력만큼 뽑아내는건데 거참 말들이 많다 잘하는만큼 나오는건데 어쩌라는건지 ㅡㅡㅋ,실력만큼 뽑아내는건데 거참 말들이 많다 잘하는만큼 나오는건데 어쩌라는건지 ㅡㅡㅋ,실력만큼 뽑아내는 건데 거참 말들이 많다 잘하는 만큼 나오는 건데 어쩌라는 건지 ㅡㅡㅋ,44
16,또 몰아주기 와 진짜 너무하네 ㅡㅡ,또 몰아주기 와 진짜 너무하네 ㅡㅡ,또 몰아주기 와 진짜 너무하네 ㅡㅡ,19
17,저도 김보민 아나운서 톤좀 낮춰 주세요 시청하는데 두통이 오네요,저도 김보민 아나운서 톤좀 낮춰 주세요 시청하는데 두통이 오네요,저도 김보민 아나운서 톤 좀 낮춰 주세요 시청하는데 두통이 오네요,35
18,잘해서 배아픈사람들 많아 보이네~~~,잘해서 배아픈사람들 많아 보이네,잘해서 배 아픈 사람들 많아 보이네,17
19,김보민 아니운서 말 좀 그만…..,김보민 아니운서 말 좀 그만…,김보민 아나운서 말 좀 그만…,16
20,아 보고 싶은데 결국 짜증나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,아 보고 싶은데 결국 짜증나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,아 보고 싶은데 결국 짜증 나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,56
21,김보민 아나 목소리가 절반이다...정말 듣기거북하네요,김보민 아나 목소리가 절반이다정말 듣기거북하네요,김보민 아나 목소리가 절반이다 정말 듣기 거북하네요,26
22,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,26
23,김보민 아나운서 혼자 너무 튀어요..귀따가워~~,김보민 아나운서 혼자 너무 튀어요귀따가워,김보민 아나운서 혼자 너무 튀어요 귀 따가워,22
24,김보민님 목소리에 자꾸 깜짝깜짝놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다. 오디오 좀 줄여주세요. 리액션 하는 게 나쁜게 아닌데 생각없이 일단 에에!? 부정! 하면서 말하는게 너무 불편해요... 방송보다 불편해서 여기까지 검색해서 글 남깁니다,김보민님 목소리에 자꾸 깜짝깜짝놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다 오디오 좀 줄여주세요 리액션 하는 게 나쁜게 아닌데 생각없이 일단 에에! 부정! 하면서 말하는게 너무 불편해요 방송보다 불편해서 여기까지 검색해서 글 남깁니다,김보민 님 목소리에 자꾸 깜짝깜짝 놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다 오디오 좀 줄여주세요 리액션 하는 게 나쁜 게 아닌데 생각 없이 일단 에에! 부정! 하면서 말하는 게 너무 불편해요 방송보다 불편해서 여기까지 검색해서 글 남깁니다,132
25,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,34
26,김보민 아나가 mc보다 말 더 많음요,김보민 아나가 mc보다 말 더 많음요,김보민 아나가 mc보다 말 더 많음요,20
27,김보민 아나운서 말 너무 많아서 방해됨,김보민 아나운서 말 너무 많아서 방해됨,김보민 아나운서 말 너무 많아서 방해됨,21
28,호일은 안 좋은데 뜨거운 걸 호일에 놓으시네,호일은 안 좋은데 뜨거운 걸 호일에 놓으시네,호일은 안 좋은데 뜨거운 걸 포일에 놓으시네,24
29,이유리씨 지나갔나요?,이유리씨 지나갔나요,이유리 씨 지나갔나요,10
