word,freq
요리,1251
이유리,1214
진짜,791
편스토랑,724
이정현,593
오윤아,578
사람,556
장민호,538
방송,535
음식,441
프로그램,414
류수영,406
오늘,406
프로,385
자랑,375
이경규,345
윤은혜,330
편의점,320
유리,305
이영자,268
때문,250
하차,245
이승철,243
김밥,230
민호,222
이유리,218
재미,207
취지,206
누구,202
채널,179
생각,178
한지혜,177
출시,172
예능,167
트로트,167
가수,164
노래,161
언니,161
들이,158
모습,155
전혜빈,146
오빠,145
아들,143
시청률,142
여자,142
이번,141
연예인,140
우승,139
사람들,138
남편,135
시간,133
대박,132
자기,131
얼굴,130
이상,129
트롯,126
하시,126
드라마,125
시청자,123
제작진,123
감태,122
불편,121
심사,120
출연,120
분량,118
메뉴,117
최고,117
파이,117
다음,113
경규,112
본인,111
짜증,110
배우,106
대단,105
하면,104
김재원,102
응원,102
참치,102
전복,100
