프로그램명,url,values,rating,장르,방송 채널,방송 시간
배틀트립,https://ko.wikipedia.org/wiki/%EB%B0%B0%ED%8B%80%ED%8A%B8%EB%A6%BD,"{'장르': '관찰 버라이어티, 여행', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2016년 4월 16일 ~ 2020년 4월 3일', '방송 시간': '매주 금요일 밤 8:30 ~ 9:45', '방송 분량': '75분', '방송 횟수': '177부작', '추가 채널': 'KBS 드라마, KBS 조이, KBS W, KBS 월드, KBS N 스포츠, 드라마 H', '기획': '감자 크리에이티브 그룹', '책임프로듀서': '권재영 (KBS 예능운영팀)', '프로듀서': '강보영', '제작사': 'KBS 예능본부', '연출': '손지원, 이유민, 구민정', '작가': '박원우, 최은영, 하선정, 박자영, 임승화, 이효연, 이보미, 정다은, 강솔비, 이한솔, 김초이, 최단비', '진행자': '본문 참조', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 배틀트립 홈페이지'}",7.4%,"관찰 버라이어티, 여행",KBS 2TV,매주 금요일 밤 8:30 ~ 9:45
신상출시 편스토랑,https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%83%81%EC%B6%9C%EC%8B%9C_%ED%8E%B8%EC%8A%A4%ED%86%A0%EB%9E%91,"{'장르': '요리', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 10월 25일 ~ 현재', '방송 시간': '매주 금요일 밤 9시 40분 ~ 11시 30분', '방송 분량': '100분', '방송 횟수': '88회 (2021년 7월 16일 기준)', '추가 채널': 'KBS 조이, KBS 드라마', '프로듀서': '강봉규 (KBS 예능운영팀)', '제작사': 'KBS 예능본부', '연출': '황성훈', '진행자': '본문 참조', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 2TV 신상출시 편스토랑 공식 홈페이지'}",3.7%,요리,KBS 2TV,매주 금요일 밤 9시 40분 ~ 11시 30분
옥탑방의 문제아들,https://ko.wikipedia.org/wiki/%EC%98%A5%ED%83%91%EB%B0%A9%EC%9D%98_%EB%AC%B8%EC%A0%9C%EC%95%84%EB%93%A4,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2018년 11월 7일 ~ 현재', '방송 시간': '매주 화요일 밤 10시 40분 ~ 12시', '방송 분량': '80분', '방송 횟수': '139회 (2021년 7월 20일 기준)', '추가 채널': 'U-KBS HEART, KBS 드라마, KBS 조이', '기획': 'KBS 예능본부', '책임프로듀서': '이세희', '제작사': '에프엔씨프로덕션', '출연자': '본문 참조', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 2TV 옥탑방의 문제아들 홈페이지'}",3.2%,리얼 버라이어티,KBS 2TV,매주 화요일 밤 10시 40분 ~ 12시
사장님 귀는 당나귀 귀,https://ko.wikipedia.org/wiki/%EC%82%AC%EC%9E%A5%EB%8B%98_%EA%B7%80%EB%8A%94_%EB%8B%B9%EB%82%98%EA%B7%80_%EA%B7%80,"{'장르': '관찰 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS2, U-KBS HEART', '방송 기간': '2019년 4월 28일 ~현재', '방송 시간': '매주 일요일 오후 5:00 ~ 6:30', '방송 분량': '90분', '방송 횟수': '117회 (2021년 7월 18일 기준)', '프로듀서': '조현아', '제작사': 'KBS 예능본부', '연출': '이창수, 윤병일, 김태준, 박영광, 윤화정, 신정인', '진행자': '김숙, 전현무', '출연자': '#출연자 명단', '여는 곡': '지누션 - 말해줘', '닫는 곡': '지누션 - 말해줘', '외부 링크': '사장님 귀는 당나귀 귀 홈페이지'}",6.2%,관찰 버라이어티,"KBS2, U-KBS HEART",매주 일요일 오후 5:00 ~ 6:30
슈퍼맨이 돌아왔다,https://ko.wikipedia.org/wiki/%EC%8A%88%ED%8D%BC%EB%A7%A8%EC%9D%B4_%EB%8F%8C%EC%95%84%EC%99%94%EB%8B%A4,"{'장르': '관찰 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2013년 11월 3일 ~ 현재', '방송 시간': '일요일 밤 9:15 ~ 11:05', '방송 횟수': '391회 (2021년 7월 18일 기준)', '추가 채널': 'U-KBS HEART, KBS 조이, KBS 드라마, KBS 스토리, KBS 월드', '프로듀서': '강봉규 (KBS 예능운영팀)', '제작자': 'KBS 예능본부', '연출': '양혁, 이재현, 정동현, 이상혁', '조연출': '이은주, 김수현, 김지형, 백현정, 박우영, 이훈재', '구성': '백순영, 박상미, 권영, 이효영, 백지숙, 신세희, 윤지원, 유은희, 박은빈, 장희경', '진행자': '박솔미, 소유진  (385회 ~ 현재)', '출연자': '샘 해밍턴, 박주호, 박현빈, 이천수, 윤상현, 후지타 사유리', '음성': '2채널 돌비디지털', '자막': '청각 장애인들을 위한 자막 방송', '외부 링크': 'KBS 2TV 슈퍼맨이 돌아왔다 홈페이지'}",5.7%,관찰 버라이어티,KBS 2TV,일요일 밤 9:15 ~ 11:05
구해줘! 홈즈,https://ko.wikipedia.org/wiki/%EA%B5%AC%ED%95%B4%EC%A4%98%21_%ED%99%88%EC%A6%88,"{'장르': '리얼 버라이어티, 생활', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 3월 31일 ~ 현재', '방송 시간': '매주 일요일 밤 10:40 ~ 12:20', '방송 분량': '100분', '방송 횟수': '117회 (2021년 7월 18일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원, E채널, 드라마 H, NQQ, 코미디TV, 더 라이프', '기획': '박현석 (MBC 예능운영팀)', '제작자': 'MBC 예능본부', '연출': '임경식, 이민희', '작가': '정다운, 손미나, 장선아, 황지현, 연보라, 김하운, 우재연, 이혜민, 전선우, 김수민, 박진희, 박신정', '출연자': '김숙, 박나래, 장동민, 양세찬, 붐, 양세형,', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '관련 프로그램': '바꿔줘! 홈즈', '후편': '미정', '외부 링크': 'MBC 구해줘! 홈즈 홈페이지'}",5.2%,"리얼 버라이어티, 생활",MBC TV,매주 일요일 밤 10:40 ~ 12:20
황금어장 라디오스타,https://ko.wikipedia.org/wiki/%ED%99%A9%EA%B8%88%EC%96%B4%EC%9E%A5_%EB%9D%BC%EB%94%94%EC%98%A4%EC%8A%A4%ED%83%80,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2007년 5월 30일 ~ 현재', '방송 시간': '매주 수요일 밤 10시 20분 ~ 12시 40분', '방송 분량': '85분', '방송 횟수': '729회 (2021년 7월 14일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원, MBC 뮤직, E채널, 코미디 TV, Y-STAR 등', '기획': '김구산 (MBC 예능본부)', '연출': '최행호', '조연출': '조주연, 정겨운, 이민재, 이경은', '작가': '곽상원, 박숙진, 변은정, 박미르내, 이윤영, 김한슬', '진행자': '본문 참조', '여는 곡': ""Brother Louie Mix 98' (모던 토킹)"", '음성': '1채널 모노 사운드', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'MBC 황금어장 라디오스타 홈페이지'}",4.2%,예능,MBC TV,매주 수요일 밤 10시 20분 ~ 12시 40분
미스터리 음악쇼 복면가왕,https://ko.wikipedia.org/wiki/%EB%AF%B8%EC%8A%A4%ED%84%B0%EB%A6%AC_%EC%9D%8C%EC%95%85%EC%87%BC_%EB%B3%B5%EB%A9%B4%EA%B0%80%EC%99%95,"{'장르': '음악', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2015년 4월 5일 ~ 현재', '방송 시간': '매주 일요일 저녁 6:00 ~ 7:50', '방송 분량': '110분', '방송 횟수': '316회 (2021년 7월 18일 기준)', '추가 채널': 'MBC 드라마넷, MBC M', '책임프로듀서': '박정규', '제작자': 'MBC 예능본부', '연출': '김문기', '조연출': '남유정, 이정아, 심진경, 김해니, 이수진, 김다영글, 이민재, 노영경, 황민지, 강영현, 김경표', '작가': '박원우, 김소현, 신마정, 이이혜, 조졍인, 우정화, 유지해, 김향수, 윤아름, 백은아', '진행자': '김성주', '출연자': '#출연진', '음성': '1채널 모노 사운드', '자막': '폐쇄 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '관련 프로그램': '일밤', '외부 링크': 'MBC 복면가왕 홈페이지'}",6.8%,음악,MBC TV,매주 일요일 저녁 6:00 ~ 7:50
마이 리틀 텔레비전 V2,https://ko.wikipedia.org/wiki/%EB%A7%88%EC%9D%B4_%EB%A6%AC%ED%8B%80_%ED%85%94%EB%A0%88%EB%B9%84%EC%A0%84_V2,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 3월 29일 ~ 2020년 1월 20일', '방송 시간': '매주 월요일 밤 9:50 ~ 11:20', '방송 분량': '1시간 30분', '방송 횟수': '41부작', '추가 채널': 'MBC 에브리원, MBC 뮤직, MBC 드라마넷, 코미디TV, E채널', '기획': '강영선', '제작사': 'MBC 예능본부', '연출': '박진경, 권해봄', '관련 프로그램': '마이 리틀 텔레비전', '외부 링크': 'MBC 마이 리틀 텔레비전 V2 홈페이지'}",4.7%,리얼 버라이어티,MBC TV,매주 월요일 밤 9:50 ~ 11:20
놀면 뭐하니?,https://ko.wikipedia.org/wiki/%EB%86%80%EB%A9%B4_%EB%AD%90%ED%95%98%EB%8B%88%3F,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 7월 27일 ~ 현재', '방송 시간': '매주 토요일 저녁 6:30 ~ 7:55', '방송 분량': '1시간 25분', '방송 횟수': '101회 (2021년 7월 17일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원', '기획': '전진수 (MBC 예능운영팀)', '프로듀서': '김태호', '제작자': 'MBC 예능본부', '연출': '김태호, 채현석', '출연자': '유재석', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'MBC 놀면 뭐하니? 홈페이지'}",8.2%,리얼 버라이어티,MBC TV,매주 토요일 저녁 6:30 ~ 7:55
